Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight
F,0.3786941590166475,0.40823097295113375,0.09749919819407463,0.5214994710086265,0.24353134170100477,0.3594118416982913,0.2513962746398328
F,0.7609354210677131,0.3397502677922706,0.15056409916536811,1.8038648745594634,0.15177618522144934,0.29095547273732775,0.28545596393383105
M,0.49848965608843354,0.23774816465684945,0.16915164780165812,0.5361065529110332,0.0715365170076544,0.2014494510702067,0.05054351809869295
F,0.7118271406103931,0.35599348203405906,0.15840439763209657,1.301177019623573,0.32811966283551713,0.17570418183798023,0.22965691943622707
I,0.3577527442914691,0.40321648681502975,0.19688100102250156,0.04810218126986776,0.6782760536657505,0.1979067335150414,0.31534294636538124
F,0.3124092042541148,0.614610431474262,0.2112926355576648,1.0753838598634895,0.5864877923450285,0.04521635504253668,0.42612794061096737
M,0.46124865668977433,0.5783838665222444,0.17059679110254705,1.3748396580379445,0.7278399663713284,0.39021048579180106,0.41957159240960507
I,0.3723705547981626,0.5789174251768716,0.12319979397364333,1.1378409220263945,0.2775591848258764,0.3327943441351186,0.30276211474599196
M,0.6844790720294605,0.34943526047394874,0.06724562987872938,1.00284367268387,0.6457339623433089,0.18034220617235225,0.08671255074916709
F,0.5073885935507949,0.28645639304037096,0.1012567085217686,0.8508551841733005,0.15246979297149518,0.3515244121891138,0.2564170375232299
I,0.6023416737773964,0.5979168886333316,0.20828423507859212,1.5570743760725718,0.14327012585868495,0.15218722266332027,0.06506762319334045
I,0.5115405843336718,0.6176071542977557,0.17703739818197267,0.4275618485901184,0.5133731546786378,0.13727704431140636,0.10610587260996426
I,0.6607697651378537,0.49897369776894657,0.10836350388997833,1.8114693992667341,0.029041514025821114,0.16961808797834854,0.2805405927011305
I,0.4449441231933354,0.4217455594151208,0.13652999489241593,0.1495449949651304,0.564209295749632,0.24491735123540379,0.13069042626207877
M,0.7635882700004426,0.4308423507523123,0.14406607277519512,0.5623030999694456,0.1644705036345911,0.18738720638497894,0.39296050140391914
I,0.3702818205945848,0.5770179843507779,0.12632439421733938,0.16941731621362288,0.8053648825906329,0.23242339597254139,0.2540998982245737
M,0.42484299356442634,0.42290631216780206,0.0919322918436161,0.1979813643628614,0.11432749891740879,0.2781338871866506,0.15182373358927376
M,0.485289701860707,0.31572854525329913,0.19917066472196304,0.09988906042628765,0.3030682446918798,0.022221480763123524,0.3731853729737393
F,0.4800809598678031,0.4816064489962918,0.08536577115074938,0.19166175275413133,0.5309762284537801,0.026354685511028597,0.07379051248525256
F,0.3162911049026273,0.45391663709711305,0.22328580243884363,0.5128530030789156,0.08380165592992778,0.26964744433057963,0.040073346305029095
F,0.6178472290770821,0.584330202984293,0.21463401208719352,1.7496649666656094,0.047452560961140366,0.36917426685272814,0.3356013043758363
I,0.6666956604926324,0.5291204295798202,0.13344152627442424,0.7706014956908185,0.2863394504514556,0.13560489067636894,0.13509898634406417
M,0.5170295555981607,0.3267736190696755,0.07294314533796557,1.4147746888463117,0.4752913135475563,0.12801937130375313,0.24882059199255538
M,0.29825154182680125,0.3861831258120826,0.13411684081944175,0.5086692428548187,0.693609737307874,0.33079302598737015,0.24455821732085195
I,0.5721539652195807,0.4115267048932825,0.16672369605540643,1.5466802784886176,0.24657589003361494,0.35806487324627195,0.228896089918309
F,0.6875988548237688,0.47599570802129315,0.1825621484196358,1.8305410705209537,0.5304664109094352,0.34050757473546905,0.16589230565257268
M,0.4872535260147375,0.5731589131083024,0.20226155629080544,1.7134799282726005,0.6969139885884243,0.06058300245438836,0.16265995785903659
I,0.7734588663423725,0.5856423215470619,0.12430210776104729,0.4363667920676443,0.5107318828086883,0.2142766649088115,0.22065042960620163
F,0.40197216968837896,0.39056715952280935,0.1421077332037108,0.6152858177931382,0.6865434107618487,0.0754491494891493,0.18017997221178217
F,0.49027445825509264,0.25183486373812086,0.22260502290811157,0.07232341121209629,0.7574079466303099,0.03737614724844421,0.03199491899820173
I,0.7344024450267495,0.5691327342381762,0.1458586858595845,1.4676530482087276,0.6666491086883914,0.11022303761797825,0.389657958876079
M,0.4549751261334246,0.3865954408497049,0.11145877498107784,0.8123587099757215,0.05448774035875742,0.36538456286683973,0.24547992526967638
I,0.46689522148767315,0.45079071884298794,0.06486810649070797,0.824408912377998,0.05214070617799926,0.017742185590350346,0.01781338253326531
M,0.4201127933485232,0.49819132598270843,0.1719298564799939,0.31757368159075416,0.3484078443038526,0.051450381438476356,0.004877803411549142
I,0.3094227817474129,0.4413068211438534,0.17381531866835287,0.5987552724507701,0.4117245222204416,0.1749864982005006,0.2602079555021767
F,0.4637048093336256,0.5942397106664266,0.2090483999805664,0.712819376826316,0.5009829322003087,0.14614291107200772,0.1778448762227957
F,0.5774276337952873,0.533389871374454,0.19301687090331754,0.6482677271304612,0.5166085155833933,0.3914802116287106,0.02385684821177733
F,0.5913866229083015,0.47899761198084867,0.06834337794183286,1.72395150548574,0.34320838389983366,0.2564026553563391,0.3491945168301358
I,0.4680763902181971,0.3890144318537027,0.09800326782184957,1.083808766896185,0.6294832879236769,0.2298303763680018,0.057291310088962766
M,0.3433777789671964,0.3831295552057724,0.09564900637357363,0.5730612454517507,0.6422586406158581,0.342917922427762,0.1837617012770419
M,0.6823578579431895,0.28068296929171843,0.18833190128513622,0.324499135088531,0.4996326489992463,0.3624590627794796,0.17494356451387938
F,0.59741905496081,0.520724371848977,0.1675356756587981,0.8678940773485719,0.1284241026528219,0.2546055813828485,0.17601913140791975
M,0.4320520056887096,0.32174379123589636,0.1936877383495305,0.6419028022615207,0.6136366452604819,0.030917299644976942,0.35060133127714704
I,0.5941853980678393,0.22321402344100558,0.11793033882724793,0.8729567626764613,0.1684594087546974,0.3117046954695354,0.015034213846504912
F,0.31387510357113435,0.5190745966262559,0.14767344051684866,1.64339398733821,0.45009652479722206,0.2256679986132679,0.21184894364105647
M,0.691013041156701,0.27573943568627923,0.10301492314161836,1.2174758062969016,0.08631426933078978,0.06620879891598834,0.2698929816899158
I,0.5049850276521634,0.32926827277802395,0.20544668744586306,0.1876021531425225,0.09878146877746541,0.2799887159586938,0.10461062371974103
I,0.5742610603153888,0.5891561589930512,0.10862954239687123,1.7987851272508988,0.46521282775595607,0.08875047781610354,0.3140519340749013
F,0.45083728863649986,0.434964774603867,0.10429041576869238,0.8789207082580931,0.11775815351742547,0.0867434813979936,0.02730653101500713
I,0.5981924070296372,0.31158787392351334,0.12131322875209229,0.5791240223401826,0.3118598749269075,0.3153369249068777,0.3919674478455948
F,0.7363833431668001,0.3514614852827524,0.20299029522269402,1.0918187092320706,0.7725817862849282,0.37945819854345275,0.10354669547683099
M,0.7536939255295595,0.6130322164166819,0.20153074793683337,1.7411606093029994,0.18106717422789587,0.28647965543323795,0.27347912334440017
M,0.7589836963582286,0.269937993808326,0.12493181629965723,1.737810587565873,0.03638144351593303,0.3062337680584748,0.3864330166901323
I,0.4404078925421072,0.60313537969192,0.1056526826104637,1.033558458744733,0.30411188939458,0.25499990531930306,0.4457152943666615
M,0.3806370886221496,0.45534951869123447,0.14294177981560524,0.7731944730774567,0.44366683134191165,0.04900270312558669,0.3469741863845048
M,0.6255434775106987,0.2216329633898756,0.18080505018766804,1.3627308289939108,0.5753014927158466,0.06181332456750491,0.1964875341815338
I,0.29468155423816633,0.38481325138725614,0.12165625763412138,1.0512591158344087,0.02679538175192009,0.34914061163486104,0.17887003558883874
M,0.7299052109421027,0.44575049691412677,0.13892254847149224,1.5363732370073495,0.04860843162573619,0.2532416317109375,0.16781460736232595
F,0.31823606474589833,0.4828580741129689,0.11438150883162745,1.4958149895285215,0.737002689626075,0.18519535325112518,0.21693271883724347
I,0.5236392607264995,0.5374339873309375,0.18691550369497098,1.397439827917225,0.3742842197626918,0.344531652332027,0.27955209812565746
F,0.4077222390484845,0.5429667701744488,0.0886925918425129,0.6293621978229125,0.04248453784533279,0.058831578350044184,0.14617027286428258
I,0.45833515127608637,0.44872396960356553,0.11381950095640292,1.5166211559273275,0.19164656315666984,0.3454866408079236,0.27673786691299573
M,0.43585384419753537,0.47799320021287955,0.08143985746875915,0.6500924944105155,0.7061846118947461,0.29775435369442316,0.16068135250299886
M,0.4345209132206059,0.3546585243857281,0.22142838117810215,0.6742852073650585,0.16191293621986624,0.10308769116719005,0.3066571299804745
M,0.41735851395740237,0.3809389684398651,0.10701640680941552,1.719265850913663,0.1365909007818392,0.16468066237549717,0.3547170042327316
M,0.6468412737809464,0.45846103061959725,0.17657352965946185,0.42172713257734334,0.10689181404040743,0.2209630856583642,0.32630092158902435
F,0.6548136006117433,0.3107737095279904,0.13160069415752954,0.49357493439341504,0.259175157395857,0.01663326853822547,0.01641767826276641
M,0.7462709727804708,0.6016395987533345,0.10928560354835248,0.26682184959507593,0.5379718845356908,0.26345688668054607,0.13201004807853756
I,0.48292361548694535,0.5997835066988312,0.1437435038829736,1.0697102290201095,0.28770971821457364,0.1184748061543816,0.4049440801756319
I,0.5000802334577759,0.42402964410617505,0.11562398055202452,0.041763206895542804,0.7806117211290393,0.09413762634362063,0.05477182080986076
I,0.5129799018181465,0.3489304409653378,0.19140311246153918,1.445145469430821,0.14802445340121245,0.1113656131184695,0.1211679642199806
F,0.3016343915791706,0.5241255743198805,0.1359211399132839,1.630363992915429,0.3170179352843432,0.37625739810539044,0.04653556462608832
F,0.4063348670545911,0.40204391713300264,0.15732433509563531,0.2297750332842734,0.5638873230615511,0.2155049683645538,0.2379791995054991
I,0.7015763882329419,0.5129640712570486,0.1743355451616144,0.08711687216668562,0.7206201158996338,0.08070792383895325,0.1123750496666015
M,0.3440850278885135,0.45304748401365547,0.07413464175026215,1.480886554448841,0.459334137246034,0.13200174342812349,0.10955098025261154
F,0.6317806175716649,0.44207841166723355,0.15679324161993852,1.2197821359986103,0.21000025736355127,0.32954996512667645,0.5133570475427072
F,0.649770652781816,0.41995564903163846,0.17815126218083496,0.7347408776627787,0.0774072376226721,0.15521471861454852,0.26436790776310376
F,0.4501828271039739,0.41703905863982704,0.10606480210106738,0.9613688588497741,0.7111046976311248,0.31712505564239757,0.46345281136877364
M,0.6375328164628432,0.6166623730308609,0.06469927829224122,1.2672208918526373,0.6991786642290321,0.24740401300553522,0.5119575664158584
M,0.3997033125538555,0.5737351960310832,0.21281635166399587,1.7903508733120654,0.26233892489113275,0.29507503169397986,0.36701208799643414
I,0.33313957308617603,0.4317417214975365,0.14985852453563708,1.7822199577835187,0.1702500900115014,0.040932474985316464,0.11574322792219996
F,0.7187500153476045,0.5918860706403221,0.1540398088113517,0.28235131546120384,0.6805791789865823,0.3469063854208022,0.08329535750744047
I,0.7723527002638357,0.21903234122152532,0.09087775827977243,0.6873629075391938,0.7418953349219222,0.2732590726051538,0.08792010886146662
M,0.7392700477373124,0.30730524364963013,0.20269844078244448,1.1985788004461948,0.5238957777932043,0.08019847930589938,0.3463492389788791
F,0.7487557040127862,0.2572872636895037,0.15482529395611147,1.490320195587881,0.3920055115557092,0.2172223993740427,0.34107814549816706
F,0.5689933090202661,0.2720168683335026,0.1849739678558951,0.3473439535841122,0.5677308833080259,0.39765867361588664,0.46522323866717297
F,0.6331020466869629,0.600409629390477,0.07961987069777283,1.3879523259784963,0.4337563681784138,0.11488799244660743,0.009841202700739793
F,0.6038426194749258,0.5922516804931219,0.08697585058788909,1.3432107887979612,0.7589784858656952,0.39473917521032487,0.48063169049270915
F,0.7479808839753121,0.3751350210361618,0.15771671488818886,0.4524107020396354,0.20229067314830168,0.12005206012645506,0.026475396781173915
F,0.7033479985930007,0.45686289037551825,0.152357211690371,0.6676782031326294,0.3822663427361286,0.26583862890386667,0.517801000908678
F,0.4465431090066876,0.2754403488617927,0.15852973775130483,0.7998049610408134,0.5209552049567676,0.05365109857775788,0.33133033188486005
M,0.30540436583065866,0.5610654133220755,0.16123935320766256,1.0235670341370746,0.21593404278516862,0.06717720310231073,0.11874614581586548
M,0.6048802921107631,0.2987694871932244,0.12042960011278905,1.0978015677287931,0.26429576764163787,0.2926789145559747,0.44364919383689294
M,0.45351014541060297,0.48712006864112406,0.16584879981080286,1.121918692428157,0.23911753932686403,0.12370200939142607,0.3828395868204033
I,0.6935579016323634,0.6096214669689266,0.11045113032752332,1.2785015327692166,0.7984967185069498,0.19350109341709376,0.4492068429381013
I,0.5841392640556963,0.5876526530039794,0.18189660630791127,1.1925962926001126,0.5147295111772829,0.25790363392374965,0.46023942781362837
F,0.6616830426806237,0.533984097358686,0.18957953532735503,0.8431215570565757,0.06322643036755526,0.09114874304015044,0.455530471485958
